RTA,Somme,Nombre de donateurs,Moyenne
G7J,12336.58,127,97.13842519685039
G7K,950.0,9,105.55555555555556
G7N,8325.0,90,92.5
G7P,4290.0,64,67.03125
G7S,32730.0,466,70.23605150214593
G7T,965.0,26,37.11538461538461
G7X,28515.0,436,65.40137614678899
G7Y,1143.28,16,71.455
G7Z,1925.0,25,77.0
G8A,8876.64,145,61.21820689655172
G8B,23398.0,303,77.22112211221122
G8C,3865.0,70,55.214285714285715
G8E,950.0,14,67.85714285714286
G8G,1550.0,27,57.407407407407405
G8H,5590.0,77,72.59740259740259
G8J,4720.0,65,72.61538461538461
G8K,13405.0,158,84.84177215189874
G8L,17069.86,221,77.239185520362
G8M,1575.0,22,71.5909090909091
G8N,945.0,13,72.6923076923077
G8P,4302.0,60,71.7
G8T,20776.0,229,90.72489082969432
G8V,7175.0,83,86.44578313253012
G8W,10092.0,125,80.736
G8Y,39741.88,495,80.28662626262626
G8Z,23590.0,291,81.06529209621993
G9A,16855.0,220,76.61363636363636
G9B,16110.0,189,85.23809523809524
G9C,2470.0,39,63.333333333333336
G9H,14310.0,168,85.17857142857143
G9N,22205.0,273,81.33699633699634
G9P,9109.0,123,74.0569105691057
G9R,1115.0,14,79.64285714285714
G9T,12603.0,171,73.70175438596492
G9X,5430.0,74,73.37837837837837
H1A,26738.0,388,68.91237113402062
H1B,23586.42,272,86.7147794117647
H1C,4075.0,52,78.36538461538461
H1E,13055.0,143,91.2937062937063
H1G,13530.0,223,60.672645739910315
H1H,20113.22,242,83.11247933884297
H1J,6425.0,72,89.23611111111111
H1K,29131.18,372,78.30962365591398
H1L,43294.13,526,82.30823193916349
H1M,38110.0,420,90.73809523809524
H1N,35888.0,398,90.17085427135679
H1P,3792.5,38,99.80263157894737
H1R,5825.0,60,97.08333333333333
H1S,5425.0,71,76.40845070422536
H1T,41248.33,452,91.25736725663717
H1V,25825.0,314,82.2452229299363
H1W,27263.0,312,87.38141025641026
H1X,31286.0,357,87.63585434173669
H1Y,46463.71,531,87.50227871939737
H1Z,5065.0,54,93.79629629629629
H2A,7680.0,84,91.42857142857143
H2B,20142.0,215,93.68372093023255
H2C,36280.0,420,86.38095238095238
H2E,12690.0,154,82.40259740259741
H2G,21176.0,235,90.11063829787234
H2H,18875.0,211,89.45497630331754
H2J,45673.26,488,93.59274590163935
H2K,26391.92,319,82.73329153605015
H2L,48170.0,517,93.17214700193423
H2M,38682.0,416,92.98557692307692
H2N,2315.0,26,89.03846153846153
H2P,11805.0,112,105.40178571428571
H2R,23660.0,226,104.69026548672566
H2S,25089.99,259,96.87254826254826
H2T,20070.4,228,88.0280701754386
H2V,46093.0,475,97.0378947368421
H2W,6475.0,75,86.33333333333333
H2X,25624.29,243,105.44975308641976
H2Y,9255.0,92,100.59782608695652
H2Z,2745.0,25,109.8
H3A,625.0,5,125.0
H3B,700.0,7,100.0
H3C,12915.0,121,106.73553719008264
H3E,27487.0,267,102.94756554307116
H3G,2931.0,29,101.06896551724138
H3H,4699.0,51,92.13725490196079
H3J,4205.0,41,102.5609756097561
H3K,6210.0,65,95.53846153846153
H3L,47052.33,501,93.91682634730539
H3M,12470.0,133,93.7593984962406
H3N,3595.0,43,83.6046511627907
H3P,8740.0,80,109.25
H3R,2860.0,28,102.14285714285714
H3S,9360.0,105,89.14285714285714
H3T,13180.0,137,96.2043795620438
H3V,6855.0,68,100.80882352941177
H3W,6500.0,72,90.27777777777777
H3X,3825.0,41,93.29268292682927
H3Y,1215.0,13,93.46153846153847
H3Z,785.0,12,65.41666666666667
H4A,30845.0,274,112.57299270072993
H4B,4015.0,42,95.5952380952381
H4C,6257.0,63,99.31746031746032
H4E,18790.0,181,103.8121546961326
H4G,19095.0,208,91.80288461538461
H4H,9510.0,107,88.8785046728972
H4J,7276.0,73,99.67123287671232
H4K,8122.0,84,96.69047619047619
H4L,9790.0,130,75.3076923076923
H4M,2125.0,26,81.73076923076923
H4N,2000.0,28,71.42857142857143
H4P,1195.0,15,79.66666666666667
H4R,5275.0,49,107.65306122448979
H4V,870.0,7,124.28571428571429
H4W,475.0,7,67.85714285714286
H4X,165.0,6,27.5
H7A,8270.0,130,63.61538461538461
H7B,3920.0,59,66.44067796610169
H7C,8455.0,127,66.5748031496063
H7E,22005.0,275,80.01818181818182
H7G,18724.0,239,78.34309623430963
H7H,5995.0,77,77.85714285714286
H7J,3195.0,34,93.97058823529412
H7K,9440.0,122,77.37704918032787
H7L,36035.0,525,68.63809523809523
H7M,15425.0,205,75.2439024390244
H7N,26122.66,346,75.49901734104046
H7P,30408.0,512,59.390625
H7R,13787.0,214,64.42523364485982
H7S,2545.0,33,77.12121212121212
H7T,10600.0,133,79.69924812030075
H7V,13224.0,164,80.63414634146342
H7W,15140.0,152,99.60526315789474
H7X,17885.0,226,79.13716814159292
H7Y,3428.0,47,72.93617021276596
H8N,5545.0,94,58.98936170212766
H8P,12175.0,130,93.65384615384616
H8R,2175.0,34,63.970588235294116
H8S,7088.0,97,73.0721649484536
H8T,4690.0,57,82.28070175438596
H8Y,4055.0,38,106.71052631578948
H8Z,1345.0,23,58.47826086956522
H9A,1120.0,12,93.33333333333333
H9B,1260.0,13,96.92307692307692
H9C,5055.0,56,90.26785714285714
H9E,3405.0,39,87.3076923076923
H9G,1580.0,20,79.0
H9H,2620.0,22,119.0909090909091
H9J,1515.0,18,84.16666666666667
H9K,1340.0,18,74.44444444444444
H9P,100.0,1,100.0
H9R,2575.0,27,95.37037037037037
H9S,3145.0,36,87.36111111111111
H9W,5895.0,55,107.18181818181819
H9X,950.0,9,105.55555555555556
J0A,10910.0,147,74.21768707482993
J0B,45989.19,546,84.22928571428572
J0C,15922.0,191,83.36125654450262
J0E,34708.0,403,86.12406947890818
J0G,9902.0,126,78.58730158730158
J0H,36557.0,486,75.2201646090535
J0J,15785.85,199,79.32587939698493
J0K,124539.5,1550,80.34806451612903
J0L,33453.4,512,65.338671875
J0M,175.0,2,87.5
J0N,12296.0,176,69.86363636363636
J0P,18890.0,214,88.27102803738318
J0R,41683.64,483,86.3015320910973
J0S,17335.0,203,85.39408866995073
J0T,50889.0,607,83.83690280065898
J0V,25428.55,296,85.90726351351351
J0W,8334.31,102,81.70892156862745
J0X,13765.0,146,94.28082191780823
J0Y,11881.0,150,79.20666666666666
J0Z,19108.0,244,78.31147540983606
J1A,6115.0,71,86.12676056338029
J1C,1170.0,23,50.869565217391305
J1E,14145.14,186,76.04913978494623
J1G,12630.0,163,77.48466257668711
J1H,18836.59,241,78.1601244813278
J1J,38020.0,400,95.05
J1K,11200.0,114,98.24561403508773
J1L,20367.0,236,86.30084745762711
J1M,3045.0,35,87.0
J1N,19342.0,228,84.83333333333333
J1R,4467.0,62,72.04838709677419
J1S,3160.0,42,75.23809523809524
J1T,7480.0,92,81.30434782608695
J1X,43165.0,463,93.22894168466523
J1Z,4085.0,40,102.125
J2A,3625.0,51,71.07843137254902
J2B,16575.0,221,75.0
J2C,24850.0,292,85.1027397260274
J2E,1140.0,13,87.6923076923077
J2G,16285.0,204,79.82843137254902
J2H,10765.0,151,71.29139072847683
J2J,8870.0,106,83.67924528301887
J2K,14900.0,177,84.18079096045197
J2L,9815.0,102,96.22549019607843
