RTA,Year,Somme,Nombre de donateurs
G1Y,2021,2925.0,35
G1Y,2022,8465.0,71
G1Y,2023,4455.0,59
G1Y,2024,4755.0,59
G1Y,2025,4060.0,45
G1Y,2026,1720.0,16
G2A,2019,930.0,10
G2A,2020,940.0,17
G2A,2021,980.0,14
G2A,2022,2105.0,20
G2A,2023,980.0,12
G2A,2024,1585.0,19
G2A,2025,1540.0,21
G2A,2026,625.0,7
G2B,2019,670.0,11
G2B,2020,779.98,16
G2B,2021,551.64,8
G2B,2022,2945.0,30
G2B,2023,1135.0,17
G2B,2024,2110.0,32
G2B,2025,2125.0,29
G2B,2026,1690.0,14
G2C,2019,510.0,7
G2C,2020,615.0,9
G2C,2021,125.0,2
G2C,2022,1495.0,18
G2C,2023,815.0,12
G2C,2024,980.0,16
G2C,2025,990.0,13
G2C,2026,780.0,7
G2E,2019,710.0,15
G2E,2020,1160.0,18
G2E,2021,1450.0,21
G2E,2022,3060.0,27
G2E,2023,1695.0,21
G2E,2024,2540.0,31
G2E,2025,1991.66,25
G2E,2026,1558.32,13
G2G,2019,840.0,10
G2G,2020,1640.0,16
G2G,2021,1130.0,13
G2G,2022,2075.0,14
G2G,2023,1230.0,14
G2G,2024,1605.0,18
G2G,2025,1350.0,15
G2G,2026,820.0,8
G2J,2019,50.0,1
G2J,2020,95.0,3
G2J,2021,190.0,4
G2J,2022,205.0,4
G2J,2023,200.0,3
G2J,2024,390.0,7
G2J,2025,300.0,5
G2J,2026,200.0,1
G2K,2019,475.0,10
G2K,2020,460.0,10
G2K,2021,550.0,7
G2K,2022,3645.0,33
G2K,2023,1645.0,24
G2K,2024,2685.0,38
G2K,2025,2544.0,36
G2K,2026,1795.0,15
G2L,2019,686.0,12
G2L,2020,621.0,15
G2L,2021,1006.0,16
G2L,2022,3636.0,39
G2L,2023,1506.0,22
G2L,2024,1896.0,27
G2L,2025,2201.0,31
G2L,2026,1107.0,11
G2M,2019,250.0,3
G2M,2020,430.0,8
G2M,2021,150.0,3
G2M,2022,480.0,6
G2M,2023,670.0,9
G2M,2024,455.0,7
G2M,2025,700.0,8
G2N,2019,205.0,4
G2N,2020,345.0,5
G2N,2021,245.0,4
G2N,2022,990.0,8
G2N,2023,440.0,7
G2N,2024,810.0,11
G2N,2025,740.0,12
G2N,2026,550.0,4
G3A,2019,1915.0,28
G3A,2020,3120.0,35
G3A,2021,1675.0,20
G3A,2022,6670.0,56
G3A,2023,3807.0,48
G3A,2024,4470.0,52
G3A,2025,3975.0,48
G3A,2026,1920.0,17
G3B,2019,720.0,10
G3B,2020,1055.0,15
G3B,2021,780.0,10
G3B,2022,3030.0,26
G3B,2023,1095.0,14
G3B,2024,1550.0,19
G3B,2025,1600.0,19
G3B,2026,1350.0,9
G3C,2019,475.0,7
G3C,2020,275.0,8
G3C,2021,180.0,2
G3C,2022,1225.0,13
G3C,2023,700.0,8
G3C,2024,805.0,11
G3C,2025,1326.65,16
G3C,2026,224.99,2
G3E,2019,210.0,3
G3E,2020,662.89,14
G3E,2021,440.0,7
G3E,2022,1565.0,13
G3E,2023,770.0,11
G3E,2024,840.0,11
G3E,2025,1025.0,14
G3E,2026,605.0,6
G3G,2019,25.0,1
G3G,2021,202.0,3
G3G,2022,840.0,8
G3G,2023,575.0,7
G3G,2024,700.0,9
G3G,2025,550.0,7
G3G,2026,200.0,1
G3H,2019,50.0,1
G3H,2020,235.0,4
G3H,2021,70.0,3
G3H,2022,525.0,5
G3H,2023,25.0,1
G3H,2024,100.0,1
G3H,2025,225.0,3
G3H,2026,25.0,1
G3J,2019,50.0,2
G3J,2022,145.0,4
G3J,2023,265.0,6
G3J,2024,170.0,4
G3J,2025,175.0,4
G3J,2026,75.0,2
G3K,2020,285.0,4
G3K,2021,275.0,5
G3K,2022,1370.0,12
G3K,2023,595.0,8
G3K,2024,960.0,12
G3K,2025,1215.0,16
G3K,2026,1105.0,9
G3L,2019,335.0,6
G3L,2020,445.0,8
G3L,2021,430.0,8
G3L,2022,1575.0,15
G3L,2023,701.0,10
G3L,2024,970.0,13
G3L,2025,675.0,8
G3L,2026,375.0,4
G3M,2019,510.0,6
G3M,2020,310.0,4
G3M,2021,575.0,8
G3M,2022,1120.0,13
G3M,2023,627.0,12
G3M,2024,620.0,12
G3M,2025,395.0,7
G3M,2026,255.0,5
G3N,2019,300.0,3
G3N,2020,450.0,5
G3N,2021,225.0,3
G3N,2022,835.0,9
G3N,2023,520.0,6
G3N,2024,775.0,10
G3N,2025,725.0,8
G3N,2026,200.0,2
G3S,2022,100.0,1
G3Z,2019,460.0,8
G3Z,2020,570.0,11
G3Z,2021,625.0,10
G3Z,2022,2990.0,25
G3Z,2023,1491.0,24
G3Z,2024,1375.0,20
G3Z,2025,1647.0,23
G3Z,2026,320.0,5
G4A,2019,160.0,3
G4A,2020,45.0,2
G4A,2021,150.0,2
G4A,2022,425.0,4
G4A,2023,165.0,4
G4A,2024,150.0,3
G4A,2025,147.0,2
G4R,2019,4095.0,71
G4R,2020,3535.0,58
G4R,2021,2995.0,41
G4R,2022,3525.0,32
G4R,2023,1090.0,15
G4R,2024,1638.31,23
G4R,2025,1649.96,19
G4R,2026,858.3199999999999,10
G4S,2019,735.0,15
G4S,2020,665.0,12
G4S,2021,415.0,8
G4S,2022,450.0,4
G4S,2023,120.0,2
G4S,2024,200.0,2
G4S,2025,150.0,2
G4S,2026,50.0,1
G4T,2019,2655.0,47
G4T,2020,2950.0,42
G4T,2021,3095.0,39
G4T,2022,5870.0,60
G4T,2023,2860.0,41
G4T,2024,3135.0,43
G4T,2025,2590.0,28
G4T,2026,1485.0,12
G4V,2019,150.0,2
G4V,2020,75.0,2
